,precision,recall,f1-score,support
A,0.3388888888888889,0.5809523809523809,0.42034632034632036,4.0
B,0.8301392301392303,0.6903135213627968,0.7448506969478491,41.4
C,0.49391304347826087,0.631752014306867,0.5508485560659473,18.4
D,0.7511396011396012,0.7303667516284339,0.737183545600745,108.2
E,0.7268382352941176,0.7781719717064545,0.7479380674344743,30.4
F,0.8468345057386154,0.8504687538464244,0.8430392786692,73.8
G,0.8610678531701892,0.8439905880511297,0.8485884899678003,60.6
H,0.8737330198537094,0.8743948805223167,0.8681389227447525,177.0
I,0.7178848413631022,0.7052304434412617,0.7058377866209363,116.4
K,0.563448020717721,0.6882475255241213,0.6170445416634687,42.0
macro avg,0.7003887239783436,0.7373888831342187,0.7083816206061495,672.2
