,precision,recall,f1-score,support
A,0.7,0.34146341463414637,0.4590163934426229,41.0
B,0.6763285024154589,0.8284023668639053,0.7446808510638298,169.0
C,0.6304347826086957,0.49572649572649574,0.5550239234449761,117.0
D,0.7264325323475046,0.75,0.7380281690140844,524.0
E,0.7763157894736842,0.7283950617283951,0.7515923566878981,162.0
F,0.8401084010840109,0.8469945355191257,0.8435374149659864,366.0
G,0.834983498349835,0.8605442176870748,0.8475711892797321,294.0
H,0.8610169491525423,0.8738532110091743,0.8673875924871941,872.0
I,0.6890034364261168,0.7173524150268337,0.7028921998247153,559.0
K,0.6904761904761905,0.5642023346303502,0.6209850107066381,257.0
accuracy,0.7717941088961618,0.7717941088961618,0.7717941088961618,0.7717941088961618
macro avg,0.742510008233404,0.7006934052825501,0.7130715100917678,3361.0
weighted avg,0.770470424339618,0.7717941088961618,0.769082341261251,3361.0
